name,wealth
ENCANA CORP,"28,119.88"
C M E GROUP INC,"28,118.80"
OMNICOM GROUP INC,"28,097.59"
PENNEY J C CO INC,"27,918.02"
FISERV INC,"27,905.72"
CAPITAL ONE FINANCIAL CORP,"27,355.00"
MAY DEPARTMENT STORES CO,"27,215.86"
GOLDEN WEST FINANCIAL CORP,"27,125.51"
B B & T CORP,"26,796.28"
MARATHON OIL CO,"26,707.15"
GAP INC,"26,700.34"
CUMMINS INC,"26,430.53"
SAFEWAY INC,"26,122.48"
ST JUDE MEDICAL INC,"26,075.03"
X C E L ENERGY INC,"25,992.48"
ANADARKO PETROLEUM CORP,"25,968.87"
PACIFIC TELEPHONE & TELEG CO,"25,932.18"
CHARTER COMMUNICATIONS INC NEW,"25,848.37"
A X A FINANCIAL INC,"25,809.07"
FEDERAL NATIONAL MORTGAGE ASSN,"25,785.82"
DISCOVER FINANCIAL SERVICES,"25,702.07"
AMERICAN CYANAMID CO,"25,271.34"
WASTE MANAGEMENT INC NEW,"25,148.94"
DOVER CORP,"25,032.16"
KANSAS CITY SOUTHERN,"25,017.20"
LAS VEGAS SANDS CORP,"24,994.33"
GUIDANT CORP,"24,972.50"
NUCOR CORP,"24,910.50"
ANALOG DEVICES INC,"24,899.71"
POTASH CORP SASKATCHEWAN INC,"24,897.19"
HONEYWELL INC,"24,859.15"
SINCLAIR OIL CORP,"24,858.05"
CLOROX CO,"24,648.35"
SUN LIFE FINANCIAL INC,"24,192.71"
PARKER HANNIFIN CORP,"24,169.16"
T D AMERITRADE HOLDING CORP,"24,136.48"
ASCEND COMMUNICATIONS INC,"24,008.58"
CANADIAN PACIFIC RAILWAY LTD,"23,963.28"
T MOBILE U S INC,"23,943.31"
NORTHERN TRUST CORP,"23,873.14"
W E C ENERGY GROUP INC,"23,772.03"
FOOT LOCKER INC,"23,748.26"
PROGRESS ENERGY INC,"23,678.15"
CITIGROUP INC,"23,638.84"
CORNING INC,"23,632.71"
U S T INC,"23,580.00"
SMITHKLINE BECKMAN CORP,"23,454.07"
FLEETBOSTON FINANCIAL CORP,"23,420.97"
GEORGIA PACIFIC CORP,"23,399.72"
ROHM & HAAS CO,"23,256.03"
T ROWE PRICE GROUP INC,"23,238.16"
MCDONNELL DOUGLAS CORP,"23,213.19"
AMERICAN GENERAL CORP,"23,144.50"
MANULIFE FINANCIAL CORP,"23,011.54"
MONSTER BEVERAGE CORP NEW,"22,974.95"
RALSTON PURINA CO,"22,968.76"
CENTERPOINT ENERGY INC,"22,929.86"
CORESTATES FINANCIAL CORP,"22,928.84"
MELLON FINANCIAL CORP,"22,915.40"
GOODYEAR TIRE & RUBBER CO,"22,845.95"
N X P SEMICONDUCTORS N V,"22,747.24"
QUAKER OATS CO,"22,669.25"
SEMPRA ENERGY,"22,638.21"
FIRSTENERGY CORP,"22,425.61"
INTUITIVE SURGICAL INC,"22,377.95"
HILTON HOTELS CORP,"22,147.77"
HORMEL FOODS CORP,"22,128.97"
TESLA MOTORS INC,"22,121.29"
TEXASGULF INC,"22,087.61"
AMPHENOL CORP NEW,"22,074.01"
GENUINE PARTS CO,"22,052.01"
SQUIBB CORP,"22,039.42"
CARDINAL HEALTH INC,"21,668.69"
E TEK DYNAMICS INC,"21,652.98"
GRAINGER W W INC,"21,427.55"
BEST BUY COMPANY INC,"21,258.80"
F M C CORP,"21,168.09"
TEXTRON INC,"21,152.15"
GENERAL RE CORP,"21,145.24"
MARATHON PETROLEUM CORP,"21,111.21"
M & T BANK CORP,"21,060.91"
A M P INC,"21,043.70"
PETRO CANADA,"20,993.73"
ALLTEL CORP,"20,845.23"
WHIRLPOOL CORP,"20,781.95"
ACTIVISION BLIZZARD INC,"20,761.08"
BANK ONE CORP,"20,629.32"
S L M CORP,"20,579.61"
C B S INC,"20,525.28"
SUNTRUST BANKS INC,"20,491.24"
AMEREN CORP,"20,445.34"
N C R CORP,"20,396.57"
UNION PACIFIC RAILROAD CO,"20,298.22"
VULCAN MATERIALS CO,"20,276.36"
CITIES SERVICE CO,"20,160.14"
ELECTRONIC ARTS INC,"20,139.77"
FIRST INTERSTATE BANCORP,"20,090.52"
BETHLEHEM STEEL CORP,"20,057.43"
ROGERS COMMUNICATIONS INC,"20,017.63"
BARD C R INC,"19,960.60"
SIGMA ALDRICH CORP,"19,750.57"
HARLEY DAVIDSON INC,"19,731.91"
H C A HOLDINGS INC,"19,593.68"
AMERISOURCEBERGEN CORP,"19,509.73"
COASTAL CORP,"19,499.93"
SUNAMERICA INC,"19,448.37"
COCA COLA ENTERPRISES INC NEW,"19,437.83"
FIRST CHICAGO N B D CORP,"19,426.19"
PIONEER NATURAL RESOURCES CO,"19,407.46"
EDWARDS LIFESCIENCES CORP,"19,393.55"
LINEAR TECHNOLOGY CORP,"19,343.48"
ALEXION PHARMACEUTICALS INC,"19,298.67"
ROCKWELL AUTOMATION INC,"19,022.39"
FIRESTONE INC,"19,007.43"
WILLIAMS COS,"18,970.60"
GOODRICH CORP,"18,922.70"
A S M L HOLDING N V,"18,850.75"
INTERCONTINENTALEXCHANGE GRP INC,"18,835.55"
EQUIFAX INC,"18,712.01"
AMERIPRISE FINANCIAL INC,"18,657.95"
PHARMACYCLICS INC,"18,613.25"
STERLING DRUG INC,"18,587.12"
ALTERA CORP,"18,361.02"
AMERADA PETROLEUM CORP,"18,321.11"
WELLPOINT HEALTH NETWRKS INC NEW,"18,168.76"
THOMSON REUTERS CORP,"18,053.13"
FIDELITY NATIONAL INFO SVCS INC,"17,960.87"
SALOMON INC,"17,944.26"
MAGNA INTERNATIONAL INC,"17,925.34"
BAKER HUGHES INC,"17,874.58"
ONEOK INC NEW,"17,860.22"
I T T INC,"17,838.50"
BENEFICIAL CORP,"17,813.50"
FALCONBRIDGE LIMITED NEW,"17,763.06"
KERR MCGEE CORP,"17,762.80"
STANLEY BLACK & DECKER INC,"17,760.47"
TYSON FOODS INC,"17,698.59"
MCKESSON H B O C INC,"17,690.50"
CENTRAL & SOUTH WEST CORP,"17,605.76"
MARTIN MARIETTA CORP NEW,"17,532.46"
CINCINNATI FINANCIAL CORP,"17,493.89"
NEXTEL COMMUNICATIONS INC,"17,438.98"
SPECTRA ENERGY CORP,"17,417.04"
CONSOLIDATED NATURAL GAS CO,"17,318.90"
DOLLAR GENERAL CORP NEW,"17,282.37"
NORDSTROM INC,"17,252.14"
DOLLAR TREE INC,"17,226.24"
KEYCORP NEW,"17,060.60"
PANENERGY CORP,"17,029.49"
TEGNA INC,"17,015.98"
SCOTT PAPER CO,"16,982.77"
PHARMACIA & UPJOHN INC,"16,977.23"
ROPER TECHNOLOGIES INC,"16,912.94"
X T O ENERGY INC,"16,849.83"
ASHLAND GLOBAL HOLDINGS INC,"16,814.10"
LINCOLN NATIONAL CORP,"16,779.20"
KRAFT INC,"16,764.40"
CHESSIE SYSTEM INC,"16,673.22"
XILINX INC,"16,644.45"
LAUDER ESTEE COS INC,"16,601.91"
WEYERHAEUSER CO,"16,507.46"
SANTA FE PAC CORP,"16,409.54"
SOUTHTRUST CORP,"16,377.63"
DEVON ENERGY CORP NEW,"16,352.22"
FASTENAL COMPANY,"16,290.87"
KOHLS CORP,"16,267.50"
WESTERN DIGITAL CORP,"16,214.94"
PALL CORP,"16,136.37"
TORCHMARK CORP,"16,127.10"
TRANSDIGM GROUP INC,"16,066.25"
PITNEY BOWES INC,"16,055.77"
DELPHI AUTOMOTIVE PLC,"16,055.13"
BORG WARNER CORP,"16,012.21"
LIN BROADCASTING CORP,"15,983.69"
SOUTHERN PACIFIC CO,"15,955.80"
UNITED CONTINENTAL HOLDINGS INC,"15,935.22"
FIFTH THIRD BANCORP,"15,879.94"
AUTODESK INC,"15,868.90"
T E CONNECTIVITY LTD,"15,865.58"
YAHOO INC,"15,802.46"
CANADIAN PACIFIC LTD,"15,777.77"
APACHE CORP,"15,734.39"
DR PEPPER SNAPPLE GROUP INC,"15,734.16"
COOPER INDUSTRIES PLC,"15,728.92"
MOTOROLA SOLUTIONS INC,"15,704.50"
QUEST DIAGNOSTICS INC,"15,689.85"
PARAMOUNT COMMUNICATIONS INC,"15,434.70"
SCANA CORP NEW,"15,429.48"
CAREMARK RX INC,"15,411.65"
TIDEWATER OIL CO,"15,391.30"
MAXIM INTEGRATED PRODUCTS INC,"15,373.62"
REPUBLIC SERVICES INC,"15,360.75"
HESS CORP,"15,337.22"
CONTINENTAL RESOURCES INC,"15,333.69"
C I T FINANCIAL CORP,"15,303.91"
UPJOHN CO,"15,302.43"
COMERICA INC,"15,280.71"
INTERNATIONAL FLAVORS & FRAG INC,"15,247.46"
BARNETT BANKS INC,"15,233.29"
SEAGATE TECHNOLOGY PLC,"15,102.98"
SUPERIOR OIL CO,"15,089.71"
C A INC,"15,004.85"
ATCHISON TOPEKA & SANTA FE RY CO,"14,926.82"
UNION CAMP CORP,"14,918.62"
RHONE POULENC RORER INC,"14,912.74"
MICROCHIP TECHNOLOGY INC,"14,857.25"
NORFOLK & WESTERN RAILWAY CO,"14,790.53"
TRANSAMERICA CORP,"14,781.74"
CINTAS CORP,"14,741.44"
U S G CORP,"14,716.45"
NISOURCE INC,"14,707.23"
CERNER CORP,"14,632.65"
PRINCIPAL FINANCIAL GROUP INC,"14,603.18"
NEXEN INC,"14,574.16"
EVERSOURCE ENERGY,"14,569.24"
SYNTEX CORP,"14,537.42"
LAM RESH CORP,"14,518.04"
NETWORK SOLUTIONS INC DE,"14,498.25"
AGRIUM INC,"14,463.82"
HEWLETT PACKARD ENTERPRISE CO,"14,461.22"
ARCONIC INC,"14,408.27"
JEFFERSON PILOT CORP,"14,260.81"
R C A CORP,"14,247.14"
WYNN RESORTS LTD,"14,114.10"
ROYAL CARIBBEAN CRUISES LTD,"14,102.99"
CONTINENTAL INSURANCE CO,"14,102.37"
CAMERON INTERNATIONAL CORP,"14,039.62"
CINERGY CORP,"14,009.02"
INCYTE CORP,"13,993.43"
ULTA SALON COSMETICS & FRAG INC,"13,915.89"
COACH INC,"13,821.07"
CONSTELLATION ENERGY GROUP INC,"13,799.54"
HARRIS CORP,"13,797.25"
CREDICORP LTD,"13,796.58"
BALL CORP,"13,778.66"
CHECK POINT SOFTWARE TECHS LTD,"13,777.63"
H B O & CO,"13,639.90"
ESMARK INC,"13,630.60"
KRAFT HEINZ CO,"13,605.88"
COLUMBIA ENERGY GROUP,"13,592.16"
CROWN CASTLE INTERNATIONAL CORP,"13,522.72"
SMUCKER J M CO,"13,436.29"
CONTINENTAL GROUP INC,"13,383.55"
PILLSBURY COMPANY,"13,305.06"
GENERAL INSTRUMENT CORP DEL,"13,284.33"
MCCORMICK & CO INC,"13,272.55"
MOSAIC COMPANY NEW,"13,207.42"
FREEPORT MINERALS CO,"13,188.27"
CITRIX SYSTEMS INC,"13,172.31"
BANKBOSTON CORP,"13,135.06"
K L A TENCOR CORP,"13,130.84"
BED BATH & BEYOND INC,"13,111.58"
SIRIUS X M HOLDINGS INC,"13,054.60"
CH ROBINSON WORLDWIDE INC,"13,049.46"
NEWMONT MINING CORP,"13,043.10"
PIONEER HI BRED INTL INC,"13,003.37"
KINDER MORGAN INC KANSAS,"13,002.41"
L 3 COMMUNICATIONS HLDGS INC,"12,971.76"
HASBRO INC,"12,897.57"
CONRAIL INC,"12,865.34"
CHURCH & DWIGHT INC,"12,841.51"
G P U INC,"12,816.70"
VIAD CORP,"12,814.08"
ROCKWELL COLLINS INC,"12,721.62"
UNITED STATES HEALTHCARE INC,"12,721.17"
WARNER COMMUNICATIONS INC,"12,713.07"
ALLERGAN PLC,"12,699.59"
WACHOVIA CORP NEW,"12,674.93"
MARCOR INC,"12,603.25"
OWENS ILL INC,"12,545.62"
HUNT J B TRANSPORT SERVICES INC,"12,528.61"
SKELLY OIL CO,"12,518.37"
HOUSEHOLD INTERNATIONAL INC,"12,491.45"
O G E ENERGY CORP,"12,415.94"
MASCO CORP,"12,397.74"
TIMKEN COMPANY,"12,391.03"
LIBERTY INTERACTIVE CORP,"12,381.00"
METTLER TOLEDO INTERNATIONAL INC,"12,375.10"
ADVANCE AUTO PARTS INC,"12,366.90"
AMERICAN TOWER CORP,"12,345.64"
ZIMMER BIOMET HOLDINGS INC,"12,343.73"
AMERICAN STORES CO NEW,"12,339.39"
WATERS CORP,"12,337.36"
ILLUMINA INC,"12,281.06"
BIOMET INC,"12,278.12"
ZOETIS INC,"12,260.94"
BLOCK H & R INC,"12,254.64"
MEDIVATION INC,"12,247.46"
SKYWORKS SOLUTIONS INC,"12,228.45"
GLOBALSANTAFE CORP,"12,214.80"
PEPCO HOLDINGS INC,"12,207.35"
DARDEN RESTAURANTS INC,"12,183.67"
FAMILY DOLLAR STORES INC,"12,165.74"
N L INDUSTRIES INC,"12,127.36"
H F S INC,"12,056.76"
TENNECO INC,"12,028.75"
QUANTUM CHEMICAL CORPORATION,"11,957.89"
TELUS CORP,"11,945.26"
LORAL CORP,"11,927.12"
C M S ENERGY CORP,"11,916.50"
KEURIG GREEN MOUNTAIN INC,"11,895.15"
CARMAX INC,"11,819.97"
LUBRIZOL CORP,"11,813.05"
I D E X X LABORATORIES INC,"11,810.19"
AMERICAN BROADCASTING COS INC,"11,795.40"
EXPEDITORS INTERNATIONAL WA INC,"11,757.15"
UNITED GAS CORP,"11,672.05"
UNITED STATES BANCORP,"11,649.42"
MARTIN MARIETTA MATERIALS INC,"11,641.19"
CHASE MANHATTAN CORP,"11,618.59"
T R W INC,"11,615.85"
SYMANTEC CORP,"11,546.98"
QUESTAR CORP,"11,509.65"
MOHAWK INDUSTRIES INC,"11,504.77"
COMPUTER SCIENCES CORP,"11,454.79"
CONCHO RESOURCES INC,"11,446.24"
TRANE INC,"11,422.97"
NOBLE ENERGY INC,"11,358.54"
TESORO CORP,"11,336.98"
SANDISK CORP,"11,323.21"
HARRAHS ENTERTAINMENT INC,"11,312.79"
MURPHY OIL CORP,"11,280.96"
AIRGAS INC,"11,220.56"
C F INDUSTRIES HOLDINGS INC,"11,215.54"
HERCULES INC,"11,183.82"
SYNCHRONY FINANCIAL,"11,168.37"
PEOPLES ENERGY CORP,"11,167.65"
TIFFANY & CO NEW,"11,150.38"
GENZYME CORP,"11,145.19"
SCHEIN HENRY INC,"11,141.88"
EXPEDIA INC DE,"11,083.28"
E Q T CORP,"11,076.22"
AMETEK INC NEW,"11,069.96"
DEAN WITTER DISCOVER & CO,"11,062.39"
NEWMARKET CORP,"11,035.02"
FLORIDA PROGRESS CORP,"11,030.70"
DISCOVERY COMMUNICATIONS INC,"11,027.71"
ALLEGHENY ENERGY INC,"11,021.14"
PAINE WEBBER GROUP INC,"11,017.07"
AMERICAN NATURAL RESOURCE CO,"10,976.65"
3COM CORP,"10,961.79"
ALLIANCE DATA SYSTEMS CORP,"10,905.96"
TRACTOR SUPPLY CO NEW,"10,876.04"
WESTROCK CO,"10,846.63"
MACY R H & CO INC,"10,829.71"
WALKER HIRAM GOODERHAM & WORTS,"10,805.45"
VALSPAR CORP,"10,797.40"
UNIONBANCAL CORP,"10,730.21"
MEDIAONE GROUP INC,"10,729.89"
AMERICAN WATER WORKS CO INC,"10,669.18"
ASARCO INC,"10,658.72"
LIGGETT GROUP INC,"10,632.91"
GARMIN LTD,"10,614.66"
TOTAL SYSTEM SERVICES INC,"10,611.36"
ALASKA AIRGROUP INC,"10,602.64"
FIRSTAR CORP NEW,"10,586.62"
OUTDOOR SYSTEMS INC,"10,537.65"
MYLAN N V,"10,532.53"
KINDER MORGAN MANAGEMENT LLC,"10,518.00"
SONAT INC,"10,499.98"
PRIMERICA CORP,"10,492.20"
ST JOE MINERALS CORP,"10,467.33"
MOLSON COORS BREWING CO,"10,410.53"
RICHFIELD OIL CORP,"10,393.95"
NATIONAL OILWELL VARCO INC,"10,347.26"
DAVITA INC,"10,340.55"
GROUPE C G I INC,"10,334.54"
CARNIVAL CORP,"10,330.63"
SOUTHLAND ROYALTY CO,"10,307.76"
S D L INC,"10,284.41"
AEROQUIP VICKERS INC,"10,260.29"
CELANESE CORP DEL,"10,255.08"
CELANESE CORP,"10,241.82"
HUBBELL INC,"10,159.10"
BERKLEY W R CORP,"10,118.55"
CREDIT SUISSE FIRST BOSTON USA,"10,078.57"
BURLINGTON INDUSTRIES INC,"10,077.39"
HOSPIRA INC,"10,035.96"
NEW ENGLAND ELEC SYS,"10,027.44"
NETSCAPE COMMUNICATIONS CORP,"10,015.13"
ACUITY BRANDS INC,"10,003.86"
EVEREST RE GROUP LTD,"10,000.47"
CHIPOTLE MEXICAN GRILL INC,"10,000.31"
CARNATION COMPANY,"9,924.28"
BOATMENS BANCSHARES INC,"9,916.82"
CABLEVISION SYSTEMS CORP,"9,895.14"
HARTFORD FINANCIAL SVCS GRP INC,"9,891.73"
